directory,file_path,file_name,file_size,modified_time,scan_time,is_error_log,error_content
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cup_glass_d71mm_qc.stl,cup_glass_d71mm_qc.stl,1298384,2026-04-02 16:51:31,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Cup_Tea_Black_d75mm_3DPrint.stl,Cup_Tea_Black_d75mm_3DPrint.stl,250284,2026-04-02 16:53:16,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cup_tea_black_d75mm_qc.stl,cup_tea_black_d75mm_qc.stl,1228784,2026-04-02 16:53:16,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Cup_Tea_Green_d76mm_3DPrint.stl,Cup_Tea_Green_d76mm_3DPrint.stl,255884,2026-04-02 16:53:34,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cup_tea_green_d76mm_qc.stl,cup_tea_green_d76mm_qc.stl,1312384,2026-04-02 16:53:34,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Cup_Tea_Yellow_d74mm_3DPrint.stl,Cup_Tea_Yellow_d74mm_3DPrint.stl,256684,2026-04-02 16:53:32,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cup_tea_yellow_d74mm_qc.stl,cup_tea_yellow_d74mm_qc.stl,1345184,2026-04-02 16:53:32,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Mug_Glass_d80mm_Print.stl,Mug_Glass_d80mm_Print.stl,257484,2026-04-02 16:53:10,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mug_glass_d80mm_qc.stl,mug_glass_d80mm_qc.stl,1610884,2026-04-02 16:53:10,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Kettle_Green_d90mm_Print.stl,Kettle_Green_d90mm_Print.stl,231084,2026-04-02 16:53:08,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\kettle_green_d90mm_qc.stl,kettle_green_d90mm_qc.stl,2088484,2026-04-02 16:53:09,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Kettle_PC_d106mm_3DPrint.stl,Kettle_PC_d106mm_3DPrint.stl,364384,2026-04-02 16:53:24,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\kettle_pc_d106mm_qc.stl,kettle_pc_d106mm_qc.stl,2080884,2026-04-02 16:53:25,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\PourOver_Kettle_d82mm_3DPrint.stl,PourOver_Kettle_d82mm_3DPrint.stl,245284,2026-04-02 16:53:12,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\pourover_kettle_d82mm_qc.stl,pourover_kettle_d82mm_qc.stl,1379284,2026-04-02 16:53:13,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\PourOver_Kettle_d93mm_3DPrint.stl,PourOver_Kettle_d93mm_3DPrint.stl,233484,2026-04-02 16:53:35,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\pourover_kettle_d93mm_qc.stl,pourover_kettle_d93mm_qc.stl,1358984,2026-04-02 16:53:36,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\PourOver_Kettle_d97mm_3DPrint.stl,PourOver_Kettle_d97mm_3DPrint.stl,237284,2026-04-02 16:53:37,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\pourover_kettle_d97mm_qc.stl,pourover_kettle_d97mm_qc.stl,1617184,2026-04-02 16:53:38,2026-05-11 14:48:05,False,
